Категорія,Коротка назва,Coin,Над-категорія
Python: Бібліотеки,pytmx (tile для pygame),🔵,Python
Інтерфейс: Графічні таски,🌅 Фон неанімований,🟤,Інтерфейс
Інтерфейс: Графічні таски,Анімація персонажу,🟤,Інтерфейс
Сутності: Параметри сутностей,📊 Статистика: Кількість кроків,🟤,Сутності (entities)
Сутності: Параметри сутностей,📊 Статистика: Кількість використання предмету,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,✨ Зміна параметру іншої сутності,🟤,Сутності (entities)
Сутності: Параметри сутностей,"🔢 Різне: Глибина ",🟤,Сутності (entities)
Інтерфейс: Пункти меню,🔄 Перезапустити гру,🟤,Інтерфейс
Програмне створення рівнів,Цікава алгоритмічна генерація (+ конкретні кроки реалізації окремими підзавданнями),🟡,Рівні (levels)
Ручне створення рівнів,Дуже простий рівень,🟤,Рівні (levels)
Ручне створення рівнів,Складний цікавій рівень,⚪,Рівні (levels)
Програмне створення рівнів,Випадкова генерація проста,🟤,Рівні (levels)
Програмне створення рівнів,Генерація печер,🟡,Рівні (levels)
Інтерфейс: Графічні таски,Кастомний заголовок вікна,🟤,Інтерфейс
Сутності: Переміщення по полю,⬇️ Гравітація,⚪,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: просте (вперед-назад),🟤,Сутності (entities)
Сутності: Параметри сутностей,⚔️ Зброя: Кількість патронів,🟤,Сутності (entities)
Інтерфейс: Графічні таски,3D-відображення,🟤,Інтерфейс
Інтерфейс: Графічні таски,3D в консолі,🟡,Інтерфейс
Інтерфейс: Графічні таски,3D: Різні символи в залежності від дальності,🟤,Інтерфейс
Сутності: Фунціонал сутностей,➕⚔️ Додадає гравцю патрони,🟤,Сутності (entities)
Інтерфейс: Результати гри,⏱️ Найкращій час,🟤,Інтерфейс
Інтерфейс: Відображення інфи,"⏱️ Час, який пройшов",🟤,Інтерфейс
Інтерфейс: Відображення інфи,⏱️ Час найкращій,🟤,Інтерфейс
Інтерфейс: Результати гри,💰 Coins (обовʼязкові),🟤,Інтерфейс
Інтерфейс: Результати гри,⏱️ Час проходження рівня,🟤,Інтерфейс
Сутності: Параметри сутностей,🔢 Різне: Час зникання (щоб через N секунд повернути),🟤,Сутності (entities)
Сутності: Фунціонал сутностей,"💥 Знищити інший елемент попереду (напр., клітинку землі)",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,💥 Знищити інший елемент (сусідній),🟤,Сутності (entities)
Сутності: Фунціонал сутностей,💥 Знищити інший елемент знизу по діагоналі,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,⏱️ Відновлення елемента через деякий час,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,↕️ Дозволяє рухатись вертикально,🟤,Сутності (entities)
Сутності: Переміщення по полю,⬆️ Стрибок вверх,⚪,Сутності (entities)
Сутності: Переміщення по полю,↗️ Стрибок по діагоналі,⚪,Сутності (entities)
Сутності: Фунціонал сутностей,"🪜 Хапання драбини (наприклад, якщо підстрибнули)",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,⬆️⏱️ Зависання в повітря при стрибку (долі секунди),🟤,Сутності (entities)
Інтерфейс: Віконця або блоки,📊 Перелік найкращих результатів (для рівня),🟤,Інтерфейс
Функціонал гри,Можна переміщатися між рівнями (навіть не пройшовши їх),🟤,Функціонал гри
Функціонал гри,Пауза (вручну),🟤,Функціонал гри
Функціонал гри,"Пауза (автоматична, наприклад при відображенні результатів)",🟤,Функціонал гри
Функціонал: Збереження,💾 Завантаження попередньо збереженої сесії,🟤,Функціонал гри
Сутності: Переміщення по полю,Переміщення: випадкова зміна напрямку руху,🟤,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: зміна напрямку при стіні,🟤,Сутності (entities)
Функціонал гри,Чіт-код: збільшити здоровʼя,🟤,Функціонал гри
Функціонал гри,Чіт-код: знищити всіх ворогів,🟤,Функціонал гри
Сутності: Фунціонал сутностей,"🏳️ Заверешння гри при знищенні (наприклад, база в танчиках)",🟤,Сутності (entities)
