Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Изменение силы удара игрока,1,"Анти-бонус,Бонус","Урон, который наносит игрок может увеличивается или уменьшатся в зависимости от определенных условий",,0,1,true,Свойство,🌀 ➖ ➕ Изменение силы удара игрока
Зелья,1,"Анти-бонус,Бонус",Могут переносится в инвентаре игрока. Позволяют активировать бонусный эффект в нужный момент времени.,,0,1,true,Элемент,🧩 ➖ ➕ Зелья
Молоко,1,"Анти-бонус,Бонус",Позволяет снять действие всех эффектов с игрока,,0,1,true,Элемент,🧩 ➖ ➕ Молоко
Золотое яблоко,1,Бонус,Временно усиливает все способности игрока,,0,1,true,Элемент,🧩 ➕ Золотое яблоко
Бонусы/антибонусы появляются после смерти противника,1,"Анти-бонус,Бонус","После смерти игрока с определенной вероятностью появляется бонус/антибонус, который влияет на игрока",,0,1,true,Свойство,🌀 ➖ ➕ Бонусы/антибонусы появляются после смерти противника
Трейлер игры,2,Видеодемки,"Создание захватывающего трейлера к игре, который привлекает внимание людей к основным возможностям игры",Почти во всех играх,3,2,true,Разное,⭕️ 🎬 Трейлер игры
Публикация игры в магазине игр или других игровых платформах (Steam и другие),3,Фичи,"Публикация игры в общий доступ через одну из площадок для размещения игр в публичном доступе (например, Steam и другие).\nВ зависимости от типа платформы количество монеток может меняться.",Почти во всех играх,2,3,true,Разное,⭕️ ⭐️ Публикация игры в магазине игр или других игровых платформах (Steam и другие)
Разработка сайта (лендинга) игры,3,Фичи,Разработка и размещение в интернете сайта про игру.\nКоличество монеток может меняться в зависимости от уровня разработки сайта с информацией про игру,Почти во всех играх,7,3,true,Разное,⭕️ ⭐️ Разработка сайта (лендинга) игры
"Создание аккаунтов-сообществ игры в социальных сетях (Telegram, Instagram, Facebook, Twitch и т.д.)",2,Фичи,"Создание сообществ для продвижения игры через социальные сети путем создания каналов/чатов в Telegram, аккаунта игры в Instagram, страницы или группы игры в Facebook и т.д.\nВ зависимости от типа платформы и глубины проработки сообщества количество монеток может меняться",Почти во всех играх,6,2,true,Разное,"⭕️ ⭐️ Создание аккаунтов-сообществ игры в социальных сетях (Telegram, Instagram, Facebook, Twitch и т.д.)"
Создание сборника саундтрека к игре,2,Фичи,Размещение саундтрека игры в интернете с возможностью скачивать его для прослушивания вне игры,Почти во всех играх,1,2,true,Разное,⭕️ ⭐️ Создание сборника саундтрека к игре
Создание игровой энциклопедии (википедии) с информацией про игры,3,Фичи,Предполагает создание специального сайта в интернете (энциклопедии-википедии) с описанием игровых элементом,Почти во всех играх,1,3,true,Разное,⭕️ ⭐️ Создание игровой энциклопедии (википедии) с информацией про игры
Заморозка,1,Анти-бонус,Замораживает игрока на определенное время\nИдея из игры: Command & Conquer: Red Alert 3 — Uprising\nПрототип: криолегионеры\nhttps://wikiwarriors.org/wiki/%D0%9A%D1%80%D0%B8%D0%BE%D0%BB%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D1%8B_(Red_Alert),,2,1,true,Свойство,🌀 ➖ Заморозка
Титановая броня,1,Бонус,Позволяет поглощать снаряды с существенно меньшим уроном для игрока\nИдея из игры: XCOM\nПрототип: титановая броня\nhttps://xcom.fandom.com/ru/wiki/%D0%A2%D0%B8%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B1%D1%80%D0%BE%D0%BD%D1%8F,,0,1,true,Свойство,🌀 ➕ Титановая броня
Энергетический щит,1,Игрок,"Полностью поглощает урон, который получает игрок\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: силовой щит скринов.\nhttps://aminoapps.com/c/commandconqu653/page/blog/sekretnye-arkhivy-skrinny/RPzd_p7Cwuw3zWzn5YEEmYwG7vJPN10Bwn",,0,1,true,Свойство,🌀 🏃🏻‍♂️ Энергетический щит
Улучшенный энергетический щит,1,Игрок,"Полностью поглощает урон, который получает игрок. Имеет большую прочность, чем обычный щит\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: силовой щит скринов.\nhttps://aminoapps.com/c/commandconqu653/page/blog/sekretnye-arkhivy-skrinny/RPzd_p7Cwuw3zWzn5YEEmYwG7vJPN10Bwn",,0,1,true,Свойство,🌀 🏃🏻‍♂️ Улучшенный энергетический щит
ЭМИ (электромагнитная индукция),1,"Анти-бонус,Бонус",Позволяет уничтожить энергетический щит\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: ЭМИ в игре http://cnc3.ru/modules.php?name=Pages&go=page&pid=89,,0,1,true,Свойство,🌀 ➖ ➕ ЭМИ (электромагнитная индукция)
Ботинки-скороходы,1,Игрок,Существенно ускоряют движение игрока/монстра,11: Playing with Fire,1,1,true,Элемент,🧩 🏃🏻‍♂️ Ботинки-скороходы
Уменьшение границ уровня по истечении времени,2,Уровни,"После истечения заданного времени границы уровня уменьшаются, мотивируя игрока отступать к центру",11: Playing with Fire,0,2,true,Свойство,🌀 🎛 Уменьшение границ уровня по истечении времени
Зыбучий песок,1,Анти-бонус,"Игровой элемент, который замедляет движение игрока\nИдея из игры: Minecraft\nПрототип: песок душ в Minecraft https://minecraft.fandom.com/ru/wiki/%D0%9F%D0%B5%D1%81%D0%BE%D0%BA_%D0%B4%D1%83%D1%88",,0,1,true,Элемент,🧩 ➖ Зыбучий песок
Маскировочный костюм игрока,1,Игрок,"Специальный костюм, который позволяет игроку на время стать невидимым. После этого костюм требует перезарядки, в течении которой он восстанавливает свою способность генерировать невидимое поле\nИдея из игры: PlanetSide2\nПрототип: способность диверсанта быть невидимым\nhttps://planetside.fandom.com/ru/wiki/%D0%94%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD%D1%82",,0,1,true,Свойство,🌀 🏃🏻‍♂️ Маскировочный костюм игрока
Острое зрение (всевидимость),1,"Игрок,Противник",Позволяет видеть скрытые (замаскированные) объекты\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: возможность обнаруживать невидимые объекты “Бульдогом”\nhttp://forums.cncseries.ru/index.php?showtopic=7255,,0,1,true,Свойство,🌀 🏃🏻‍♂️ 🤖 Острое зрение (всевидимость)
Нажимная плита,1,Движение,Позволяет активировать тот или иной механизм. Для работоспособности все время должна быть нажата.,13: Fireboy And Watergirl,1,1,true,Элемент,🧩 ➡️ Нажимная плита
Способность летать,1,"Игрок,Противник,Движение",Позволяет игроку/противнику преодолевать силу гравитации\nИдея из игры: Spore\nПрототип: крылья персонажа https://spore.fandom.com/ru/wiki/%D0%9F%D0%BE%D0%BB%D1%91%D1%82,,2,1,true,Свойство,🌀 🏃🏻‍♂️ 🤖 ➡️ Способность летать
Крылья,1,"Игрок,Противник,Движение",Предоставляют игроку/противнику возможность летать\nИдея из игры: Spore\nПрототип: крылья персонажа https://spore.fandom.com/ru/wiki/%D0%9F%D0%BE%D0%BB%D1%91%D1%82,,0,1,true,Элемент,🧩 🏃🏻‍♂️ 🤖 ➡️ Крылья
Заряд (позитивный или негативный),1,Игрок,"Создает электромагнитное поле. Если в радиусе одной клетки от элемента есть магнит, то заряд притягивается/отталкивается к/от магнита.\nНужно подробнее здесь описать, чтобы было понятно, что это такое без запуска игры Polarity Switch :)",14: Polarity Switch,0,1,true,Элемент,🧩 🏃🏻‍♂️ Заряд (позитивный или негативный)
Магнит,1,Игрок,"Позволяет притягивать или отталкивать элементы, имеющие электромагнитный заряд",14: Polarity Switch,0,1,true,Элемент,🧩 🏃🏻‍♂️ Магнит
Лифт,1,Движение,Позволяет быстро перемещать игрока вверх/вниз\nИдея из игры: Evil Nun.\nПрототип: лифт https://keplerians-games.fandom.com/ru/wiki/%D0%9B%D0%B8%D1%84%D1%82,,0,1,true,Элемент,🧩 ➡️ Лифт
Главное меню игры,1,Меню,,,29,1,false,Интерфейс,✏️ 🎹 Главное меню игры
Вариативные размеры поля,1,Уровни,Разные уровни могут иметь разные размеры поля,Почти во всех играх,10,1,false,Интерфейс,✏️ 🎛 Вариативные размеры поля
Ввод имени игрока,1,Результаты,,,16,1,false,Интерфейс,✏️ 📊 Ввод имени игрока
Подсчёт количества ходов,1,Результаты,И вывод в статистике в конце игры,,7,1,false,Интерфейс,✏️ 📊 Подсчёт количества ходов
Отображение шагов в блоке информации,½,Результаты,,,7,0.5,false,Интерфейс,✏️ 📊 Отображение шагов в блоке информации
Подсчёт времени прохождения уровня/игры,1,Результаты,И вывод в статистике в конце игры,,10,1,false,Интерфейс,✏️ 📊 Подсчёт времени прохождения уровня/игры
Отображение времени игры в блоке информации,½,Результаты,,,8,0.5,false,Интерфейс,✏️ 📊 Отображение времени игры в блоке информации
Обратный отсчёт времени,1,Результаты,Если не успеть выиграть — game over,,3,1,false,Интерфейс,✏️ 📊 Обратный отсчёт времени
Простой подсчет очков,1,Результаты,,,10,1,false,Интерфейс,✏️ 📊 Простой подсчет очков
Особый подсчёт очков (формула),1,Результаты,"Например, зависящая от нескольких критериев: время прохождения, количество ходов, собранные призы, и т.д.",,1,1,false,Интерфейс,✏️ 📊 Особый подсчёт очков (формула)
Отображение очков в блоке информации,½,Результаты, Выводятся вовремя игрового процесса  сбоку или снизу,,9,0.5,false,Интерфейс,✏️ 📊 Отображение очков в блоке информации
Особые подсчёты бонусов и т.п.,1,Результаты,"Например, количество необязательных призов или ключей и т.п.",,0,1,false,Интерфейс,✏️ 📊 Особые подсчёты бонусов и т.п.
Список результатов всех игр,1,Результаты,Упорядоченный по времени игры,,8,1,false,Интерфейс,✏️ 📊 Список результатов всех игр
Список лучших результатов,1,Результаты,Упорядоченный по результатам,,4,1,false,Интерфейс,✏️ 📊 Список лучших результатов
Победа при достижении финиша,1,Финиш,↑ Собственно это основное назначение клетки финиша :),,6,1,false,Свойство,🌀 🏁 Победа при достижении финиша
Победа при определённых обстоятельствах,1,Финиш,"Например, когда собраны все обязательные призы, или открыты все двери, или уничтожены все монстры.\nУкажите, какие именно у вас критерии и если их несколько разных ー можно “дублировать” это задание и получать балл за каждый *уникальный* критерий\nНо при этом критерий не должен “дублировать” другое *такое же* по смыслу, но конкретное задание ↓",,15,1,false,Свойство,🌀 🏁 Победа при определённых обстоятельствах
Появление клетки финиша при определённых обстоятельствах,1,Финиш,Про примеры обстоятельств и “дублируемость” читайте выше ↑,,3,1,false,Свойство,🌀 🏁 Появление клетки финиша при определённых обстоятельствах
Появление клетки финиша через некоторое время,1,Финиш,,,1,1,false,Свойство,🌀 🏁 Появление клетки финиша через некоторое время
Карта в виде «тора»,1,Уровни,"Имеется в виду, что если, к примеру, перейти за левый край, то появляемся с правой стороны (и аналогично по вертикали)",👻 9: Pac-Man,3,1,false,Интерфейс,✏️ 🎛 Карта в виде «тора»
Видимость только ближайшего пространства рядом с игроком (ограниченная видимость),2,Уровни,"Например, игрок видит только несколько соседних клеток, а остальные для него невидимы, и эта видимая область перемещается за игроком",💰 4: Lode Runner,1,2,false,Интерфейс,✏️ 🎛 Видимость только ближайшего пространства рядом с игроком (ограниченная видимость)
Видимая область перемещается с игроком (фрейм отображаемой области),2,Уровни,"Примерно как скролл в окне, но тут он просто зависит от перемещения игрока",,2,2,false,Интерфейс,✏️ 🎛 Видимая область перемещается с игроком (фрейм отображаемой области)
Продуманные интересные уровни,1,Уровни,"Можно дублировать задание несколько раз (в разумных пределах)\nНапример, по несколько уровней за монету (в зависимости от продуманности уровня)",,13,1,false,Разное,⭕️ 🎛 Продуманные интересные уровни
Пасхалочка типа кода Konami,1,Фичи,,,4,1,false,Разное,⭕️ ⭐️ Пасхалочка типа кода Konami
Случайная генерация уровней,2,Уровни,Просто самый обычный рандом для размещаемых элементов,🧨 6: Mined-Out,2,2,false,Алгоритм,⚛️ 🎛 Случайная генерация уровней
Непроходимая стена,1,Препятствие,Стандартная обычная стена (непроходимое препятствие),"🗝 1: Лабиринт,🧿 3: New Ball Game,💣 8: Bomberman",20,1,false,Элемент,🧩 🚧 Непроходимая стена
Непроходимость,1,Препятствие,↑ Стандартное свойство непроходимых игроком элементов (в частности стен),Почти во всех играх,10,1,false,Свойство,🌀 🚧 Непроходимость
Уничтожимая стена,1,Препятствие,"Стена, которую можно уничтожить определённым образом (выстрелом, выкапыванием, взрывом и т.п.)","💎 2: Boulder Dash,💰 4: Lode Runner,💥 5: Battle City,💣 8: Bomberman",9,1,false,Элемент,🧩 🚧 Уничтожимая стена
Уничтожимость,1,Препятствие,"Возможность элементу быть уничтожимым определённым способом (выстрелом, выкапыванием, взрывом и т.п.)",,6,1,false,Свойство,🌀 🚧 Уничтожимость
Неуничтожимая стена,1,Препятствие,"Особый вид стены, которую нельзя уничтожить.\nОбычно задание используется в паре с предыдущим ↑","💎 2: Boulder Dash,💰 4: Lode Runner,💥 5: Battle City,💣 8: Bomberman",10,1,false,Элемент,🧩 🚧 Неуничтожимая стена
Самовосстанавливающаяся стена,1,Препятствие,"Стена, которая через какое-то время сама восстанавливается (вновь появляется после уничтожения)",💰 4: Lode Runner,2,1,false,Элемент,🧩 🚧 Самовосстанавливающаяся стена
Автовосстановление стены,1,Препятствие,↑ Свойство самовосстанавливающейся стены,💰 4: Lode Runner,2,1,false,Свойство,🌀 🚧 Автовосстановление стены
